Species Name,Common Name,GRANK,SRANK,FEDERAL,STATE
Polytaenia nuttallii prairie,parsley,G5,S1,,SE
Populus balsamifera balsam,poplar,G5,S1,,SE
Potamogeton bicupulatus snail-seed,pondweed,G4,S1,,SE
Potamogeton epihydrus,Nuttall pondweed,G5,S1,,SE
Potamogeton friesii,Fries' pondweed,G5,S1,,SE
Potamogeton oakesianus,Oakes' pondweed,G5,S1,,SE
Potamogeton praelongus white-stem,pondweed,G5,S1,,ST
Potamogeton pulcher spotted,pondweed,G5,S2,,ST
Potamogeton richardsonii,redheadgrass,G5,S3,,ST
Potamogeton robbinsii flatleaf,pondweed,G5,S3,,ST
Potamogeton strictifolius straight-leaf,pondweed,G5,S2,,ST
Potamogeton vaseyi,Vasey's pondweed,G5,S1,,SE
Potentilla anserina,silverweed,G5,S2,,ST
Proboscidea louisianica,Louisiana unicorn-plant,GU,SX,,SX
Prunus pensylvanica,var. pensylvanica fire cherry,G5T5,S3,,ST
Pseudognaphalium macounii winged,cudweed,G5,SX,,SX
Pteridium aquilinum,var. pseudocaudatum bracken fern,G5T5,SX,,SX
Pycnanthemum verticillatum,var. whorled mountainmint,G5T5,SU,,SE
Pyrola americana,American wintergreen,G5,S2,,ST
Pyrola asarifolia,ssp. asarifolia pink wintergreen,G5T5,S1,,SE
Pyrola chlorantha greenish-flowered,wintergreen,G5,SX,,SX
Quercus prinoides dwarf,chinquapin oak,G5,S1,,SE
Ranunculus ambigens water-plantain,spearwort,G2,S1,,SE
Ranunculus harveyi,Harvey's buttercup,G4,S1,,SE
Ranunculus laxicaulis,Mississippi buttercup,G5?,S1,,SE
Ranunculus pusillus,Pursh's buttercup,G5,S1,,SE
Rhexia mariana,Maryland meadow beauty,G5T5,S1,,ST
Rhus aromatica,var. arenaria beach sumac,G5T3Q,S3,,ST
Rhynchospora corniculata short-bristle,horned-rush,G5,S2,,ST
Rhynchospora fusca brown,beakrush,G5,SX,,SX
Rhynchospora macrostachya tall,beaked-rush,G4,S3,,ST
Rhynchospora nitens short-beaked,bald-rush,G4,S1,,SE
Rhynchospora recognita globe,beaked-rush,G5?,S1,,SE
Rhynchospora scirpoides long-beaked,baldrush,G4,S3,,ST
Rhytidium rugosum rhytidium,moss,G5,SU,,SE
Rorippa aquatica lake,cress,G4?,S1,,SE
Rubus odoratus purple,flowering raspberry,G5,S2,,ST
Rudbeckia fulgida,var. umbrosa coneflower,G5T4T5,S1,,SE
Sabatia campanulata slender,marsh pink,G4,SX,,SX
Sagittaria ambigua,Kansas arrowhead,G2,SX,,SX
Sagittaria australis longbeak,arrowhead,G4,S3,,ST
Salix cordata heartleaf,willow,G4,S1,,SE
Salix serissima autumn,willow,G5,S2,,ST
Sanguisorba canadensis,Canada burnet,G5,S1,,SE
Sanicula smallii,Small's snakeroot,G5,S3,,ST
Sceptridium multifidum leathery,grape-fern,G5,SX,,SX
Sceptridium rugulosum ternate,grape-fern,G3,SX,,SX
Scheuchzeria palustris,ssp. americana American scheuchzeria,G5T5,S1,,SE
Schizachne purpurascens purple,oat,G5,S1,,SE
Schoenoplectiella hallii,Hall's bulrush,G3,S1,,SE
Schoenoplectiella purshiana weakstalk,bulrush,G4G5,S3,,ST
Schoenoplectiella smithii,Smith's Bulrush,G5?,S2,,ST
Schoenoplectus subterminalis water,bulrush,G5,S3,,ST
Schoenoplectus torreyi,Torrey's Bulrush,G4,S1,,SE
Scirpus expansus,bulrush,G4,S1,,SE
Scleria muehlenbergii,Muehlenberg's nutrush,G5,S1,,SE
Scleria reticularis reticulated,nutrush,G4,S2,,ST
Scorpidium scorpioides hooked,scorpion moss,G5,SU,,SE
Scutellaria parvula,var. parvula small skullcap,G5T4T5,S1,,SE
Scutellaria saxatilis rock,skullcap,G3G4,S1,,SE
Selaginella rupestris ledge,spike-moss,G5,S1,,SE
Shepherdia canadensis,Canada buffalo-berry,G5,SX,,SX
Sida hermaphrodita,Virginia mallow,G3,S1,,SE
Sideroxylon lycioides buckthorn,bumelia,G5,S1,,SE
Silene ovata ovate,catchfly,G3,S1,,SE
Silene regia royal,catchfly,G3,S1,,SE
Sisyrinchium montanum strict,blue-eyed-grass,G5,S1,,SE
Solidago buckleyi,Buckley's goldenrod,G4,S1,,SE
Solidago rupestris rock,goldenrod,G4?,S1,,SE
Solidago shortii,Short's goldenrod,G1G2,S1,E,SE
Solidago simplex,var. gillmanii sticky goldenrod,G5T3?,S2,,ST
Solidago squarrosa stout-ragged,goldenrod,G5,S1,,SE
Sorbus decora northern,mountain-ash,G5,SX,,SX
Sparganium androcladum branching,bur-reed,G4G5,S2,,ST
Sparganium natans small,bur-reed,G5,SX,,SX
Spigelia marilandica woodland,pinkroot,G4,S1,,SE
Spiranthes arcisepala,Appalachian ladies'-tresses,G5,S2,,SE
Spiranthes lucida shining,ladies'-tresses,G4,S3,,ST
Spiranthes magnicamporum,Great Plains ladies'-tresses,G3G4,S2S3,,ST
Spiranthes ochroleuca yellow,nodding ladies'-tresses,G5,S2,,ST
Spiranthes romanzoffiana hooded,ladies'-tresses,G5,S1,,SE
Stenanthium gramineum eastern,featherbells,G4,S1,,ST
Stenaria nigricans narrowleaf,summer bluets,G5,S2S3,,ST
Stuckenia filiformis,ssp. occidentalis slender pondweed,G5T5,S1,,SE
Styrax americanus,American snowbell,G5,S3,,ST
Styrax grandifolius large-leaf,snowbell,G5,S1,,SE
Sullivantia sullivantii,Sullivantia,G4,S2,,ST
Symphyotrichum boreale rushlike,aster,G5,S2,,ST
Symphyotrichum oblongifolium aromatic,aster,G5,S3,,ST
Symphyotrichum phlogifolium thin,leaf late purple aster,G4,SX,,SX
Symphyotrichum sericeum western,silvery aster,G5,S2,,ST
Taxodium distichum,var. distichum bald cypress,G5,S2,,ST
Taxus canadensis,American yew,G5,S1,,SE
Tetrodontium brownianum,Brown's four-toothed moss,GNR,SU,,SE
Thalictrum pubescens tall,meadowrue,G5,S3,,ST
Thuja occidentalis northern,white cedar,G5,S1,,SE
Thyrsanthella difformis climbing,dogbane,G4G5,S3,,ST
Trautvetteria caroliniensis,Carolina tassel-rue,G5,SX,,SX
Trifolium reflexum,var. glabrum buffalo clover,G3G4T2T4Q,S1,,SE
